	channel_key	cdn_dns	origin_segments	num_lambdas
50	roku_spt_sonykal_1_us_cf	E2D8K9AE5XJXNW	https://d7kagd3tnwoxb5.data.mediastore.us-east-1.amazonaws.com/sonykal	2.0
51	roku_sony_sonykal_gn_1_us_cf	EKAXZEGHR9PRA	https://d7kagd3tnwoxb5.data.mediastore.us-east-1.amazonaws.com/sonykal	2.0
52	roku_aenetworks_unxplainedzone_1_us_logo_cf	E11LJH5ZTIWRYV	https://62uo2ayg37x6my.data.mediastore.us-east-1.amazonaws.com	7.0
53	roku_aenetworks_tinyhousenation_1_us_logo_cf	E3B3DYYLNLLH7	https://uxwhhaamwyeqnn.data.mediastore.us-east-1.amazonaws.com	7.0
54	roku_aenetworks_thrillher_1_us_logo_cf	EHOKQN8HQHPNU	https://3fh65mctcwvdib.data.mediastore.us-east-1.amazonaws.com	7.0
55	roku_aenetworks_modernmarvels_1_us_logo_cf	EG0R5GG9O6X7Q	https://zjlkj6baqqhptd.data.mediastore.us-east-1.amazonaws.com	7.0
56	roku_aenetworks_kriminal_1_us_logo_cf	E36AVKHIZ7OQAD	https://ek6knx2ttnzrlc.data.mediastore.us-east-1.amazonaws.com	7.0
57	roku_aenetworks_iceroadtruckers_1_us_logo_cf	ELCSETD2I3VEJ	https://gba5puu6cg3ddw.data.mediastore.us-east-1.amazonaws.com	7.0
58	roku_aenetworks_holidaymoviefavorites_1_us_logo_cf	E2DU3X3XYZK4QQ	https://sw3dh2tbzb7tgp.data.mediastore.us-east-1.amazonaws.com	7.0
59	roku_aenetworks_axmen_1_us_logo_cf	E9RPRE4A330ZB	https://qyu7upa7akrwdy.data.mediastore.us-east-1.amazonaws.com	7.0
60	rakuten_surfchannel_surfchannel_01_eu_cf	E1QEGN2NQO9BF7	https://d7kagd3tnwoxb5.data.mediastore.us-east-1.amazonaws.com	7.0
61	rakuten_fueltv_fueltv_10_eu_cf	ESAUD1MUIFJTR	https://d7kagd3tnwoxb5.data.mediastore.us-east-1.amazonaws.com	7.0
